term,step,estimate,lambda,dev.ratio
d0001713,1,0.523986659040066,150,0.0108262058796335
d0001717,1,-0.825166298552684,150,0.0108262058796335
d0001891,1,-0.618286736822988,150,0.0108262058796335
d0001938,1,0.32403350916533,150,0.0108262058796335
d0002037,1,-1.39835698012516,150,0.0108262058796335
d0002199,1,-0.642548606506921,150,0.0108262058796335
d0002200,1,0.848969382606204,150,0.0108262058796335
d0002207,1,-1.02628236871672,150,0.0108262058796335
d0002216,1,-2.61687640063838,150,0.0108262058796335
d0002225,1,0.526240901445895,150,0.0108262058796335
d0002403,1,1.67912139660888,150,0.0108262058796335
d0002544,1,-0.585392105024459,150,0.0108262058796335
d0002546,1,-0.225893594786628,150,0.0108262058796335
d0002548,1,0.762250545273331,150,0.0108262058796335
d0002561,1,1.8203518641839,150,0.0108262058796335
d0002585,1,-0.276218539823794,150,0.0108262058796335
d0002594,1,0.713382293546701,150,0.0108262058796335
d0002730,1,-0.460194062663592,150,0.0108262058796335
d0002731,1,1.72543824607446,150,0.0108262058796335
d0002733,1,0.40290928444508,150,0.0108262058796335
d0002734,1,0.619721655103055,150,0.0108262058796335
d0002738,1,1.2775355185841,150,0.0108262058796335
d0002744,1,-1.01820061707427,150,0.0108262058796335
d0002747,1,-2.16457149742546,150,0.0108262058796335
d0002749,1,-0.947799158686659,150,0.0108262058796335
d0002754,1,2.0179862339106,150,0.0108262058796335
d0002772,1,0.525900567985395,150,0.0108262058796335
d0101106,1,2.38385991478739,150,0.0108262058796335
d0101107,1,0.171767579719453,150,0.0108262058796335
d0101108,1,0.450067286200812,150,0.0108262058796335
d0101109,1,0.228063572788166,150,0.0108262058796335
d0101112,1,0.737857435990819,150,0.0108262058796335
d0101123,1,1.35727288431166,150,0.0108262058796335
d0101127,1,-0.438233289346953,150,0.0108262058796335
d0101133,1,0.620495459798081,150,0.0108262058796335
d0101139,1,0.369253944490242,150,0.0108262058796335
d0101141,1,1.2995489592088,150,0.0108262058796335
d0101150,1,-0.944800820066451,150,0.0108262058796335
