id_player,gp_total,poss_o,poss_d,poss_total,mp_o,mp_d,mp_total,pts_o,pts_d,pm,pts_o_per100,pts_o_per36,name_player,gp_game_logs_nbastatr,mp_game_logs_nbastatr,pm_game_logs_nbastatr,name_player_summary_nbastatr,gp_summary_nbastatr,minutes_summary1_nbastatr,minutes_summary2_nbastatr
1713,58,2229,2282,4511,501.133333333333,526.25,1027.38333333333,2127,2193,-66,47.1514076701397,74.5310903103353,Vince Carter,58,1027,-67,Vince Carter,58,1026,1026
1717,77,4091,4150,8241,954.466666666667,906.483333333333,1860.95,4093,4166,-73,49.6663026331756,79.1789139955399,Dirk Nowitzki,77,1900,-55,Dirk Nowitzki,77,1900,1900
1891,50,1801,1804,3605,401.633333333333,407.183333333333,808.816666666667,1813,1750,63,50.2912621359223,80.6956665086855,Jason Terry,51,813,21,Jason Terry,51,814,814
1938,65,2885,2946,5831,631.55,677.25,1308.8,2902,2840,62,49.7684788200995,79.8227383863081,Manu Ginobili,65,1297,73,Manu Ginobili,65,1299,1299
2037,80,3673,3692,7365,808.866666666667,838.383333333333,1647.25,3691,3770,-79,50.1154107264087,80.6653513431477,Jamal Crawford,80,1658,-144,Jamal Crawford,80,1653,1653
2199,46,2645,2674,5319,569.45,563.716666666667,1133.16666666667,2545,2550,-5,47.8473397255123,80.8530666274452,Tyson Chandler,46,1154,-244,Tyson Chandler,46,1151,1151
2200,77,3950,4001,7951,877.3,905.983333333333,1783.28333333333,3670,3719,-49,46.1577160105647,74.0880585436975,Pau Gasol,77,1814,62,Pau Gasol,77,1812,1812
2207,55,2689,2638,5327,595.2,607.15,1202.35,2627,2467,160,49.3148113384644,78.6559654010896,Joe Johnson,55,1204,-77,Joe Johnson,55,1205,1205
2210,19,370,367,737,83.8333333333333,78.9166666666667,162.75,364,361,3,49.3894165535957,80.5161290322581,Richard Jefferson,20,163,-43,Richard Jefferson,20,163,163
2216,59,3254,3318,6572,717.066666666667,765.15,1482.21666666667,3278,3220,58,49.8782714546561,79.6158906142827,Zach Randolph,59,1508,-354,Zach Randolph,59,1508,1508
2225,55,2341,2370,4711,513.533333333333,549.366666666667,1062.9,2267,2253,14,48.1214179579707,76.7823878069433,Tony Parker,55,1067,-10,Tony Parker,55,1071,1071
2403,52,1722,1729,3451,370.516666666667,387.1,757.616666666667,1748,1697,51,50.6519849319038,83.0604747343644,Nene,52,759,264,Nene Hilario,52,758,758
2544,82,6786,6848,13634,1507.76666666667,1491.06666666667,2998.83333333333,7062,7055,7,51.7969781428781,84.7769688212083,LeBron James,82,3024,108,LeBron James,82,3026,3026
2546,78,5654,5874,11528,1248.63333333333,1223.26666666667,2471.9,5572,5675,-103,48.3344899375434,81.148913791011,Carmelo Anthony,78,2503,271,Carmelo Anthony,78,2501,2501
2548,67,3471,3529,7000,761.55,776.566666666667,1538.11666666667,3411,3419,-8,48.7285714285714,79.8352964122791,Dwyane Wade,67,1537,23,Dwyane Wade,67,1536,1536
2555,15,164,169,333,36.8833333333333,37.2833333333333,74.1666666666667,153,158,-5,45.945945945946,74.2651685393259,Nick Collison,15,75,-5,Nick Collison,15,75,75
2561,73,2160,2211,4371,486.6,500.233333333333,986.833333333333,2049,2009,40,46.8771448181194,74.748184428306,David West,73,1001,37,David West,73,999,999
2570,1,34,32,66,6.86666666666667,7.6,14.4666666666667,37,38,-1,56.0606060606061,92.073732718894,Kendrick Perkins,1,15,3,Kendrick Perkins,1,15,15
2585,69,2207,2254,4461,461.4,482.866666666667,944.266666666667,2037,2518,-481,45.6624075319435,77.660265461734,Zaza Pachulia,69,969,196,Zaza Pachulia,69,972,972
2594,73,3519,3613,7132,766.166666666667,803.966666666667,1570.13333333333,3656,3508,148,51.2619181155356,83.8247282608696,Kyle Korver,73,1574,274,Kyle Korver,73,1574,1574
2617,14,148,156,304,37.2666666666667,34.7,71.9666666666667,109,159,-50,35.8552631578947,54.5252431681334,Udonis Haslem,14,71,-4,Udonis Haslem,14,72,72
