id_game,lineup1,poss_calc,mp,pts_calc,nba.com
21600001,L. James-J. Smith-K. Love-K. Irving-T. Thompson,57,10.98333333,11,11
21600001,C. Andersen-M. Dunleavy-J. Jones-D. Liggins-J. McRae,26,5.366666667,1,1
21600001,R. Jefferson-M. Dunleavy-L. James-C. Frye-D. Liggins,18,4.166666667,0,0
21600001,R. Jefferson-M. Dunleavy-L. James-C. Frye-K. Irving,21,4.033333333,0,1
21600001,R. Jefferson-L. James-J. Smith-K. Love-I. Shumpert,16,2.833333333,4,1
21600001,J. Smith-K. Love-K. Irving-T. Thompson-I. Shumpert,12,2.75,-6,-7
21600001,R. Jefferson-L. James-J. Smith-K. Love-K. Irving,12,2.616666667,3,3
21600001,R. Jefferson-M. Dunleavy-K. Love-T. Thompson-I. Shumpert,12,2.233333333,3,4
21600001,R. Jefferson-L. James-J. Smith-C. Frye-K. Irving,8,1.966666667,4,2
21600001,R. Jefferson-M. Dunleavy-C. Frye-K. Irving-I. Shumpert,7,1.95,-4,-2
21600001,L. James-J. Smith-K. Irving-T. Thompson-I. Shumpert,9,1.933333333,-1,-1
21600001,R. Jefferson-L. James-K. Irving-T. Thompson-I. Shumpert,7,1.35,0,0
21600001,R. Jefferson-M. Dunleavy-K. Love-T. Thompson-D. Liggins,5,1.216666667,5,4
21600001,R. Jefferson-M. Dunleavy-J. Smith-C. Frye-K. Irving,4,1.083333333,5,5
21600001,M. Dunleavy-L. James-K. Love-T. Thompson-D. Liggins,6,1.016666667,4,1
21600001,R. Jefferson-L. James-J. Smith-K. Irving-T. Thompson,5,1,1,3
21600001,R. Jefferson-M. Dunleavy-C. Frye-K. Love-I. Shumpert,3,0.683333333,1,0
21600001,R. Jefferson-M. Dunleavy-J. Smith-K. Love-J. McRae,2,0.433333333,0,0
21600001,M. Dunleavy-L. James-C. Frye-K. Love-K. Irving,2,0.15,3,3
21600001,R. Jefferson-M. Dunleavy-L. James-K. Love-D. Liggins,1,0.033333333,0,0
21600001,C. Andersen-M. Dunleavy-K. Love-D. Liggins-J. McRae,1,0,1,0
