id_team,team_name,id_player,gp_calc_total,poss_calc_o,poss_calc_d,poss_calc_total,mp_calc_o,mp_calc_d,mp_calc_total,pts_calc_o,pts_calc_d,pts_o_per100_calc,pm_calc,gp_summary_nbastatr,pts_summary_nbastatr
1610612744,Warriors,6098757,673,41549,42403,83952,8423.45,9105.76666666667,17529.2166666667,41904,38125,1071.40414661315,3779,82,9421
1610612761,Raptors,9448911,732,40230,40278,80508,8959.03333333333,8746.66666666667,17705.7,38779,37450,1142.45599814289,1329,82,8422
1610612746,Clippers,4668009,620,38748,38637,77385,8041.96666666667,8355.25,16397.2166666667,37627,36478,958.348789352511,1149,82,8569
1610612759,Spurs,6296829,654,33790,33870,67660,7499.86666666667,7301.85,14801.7166666667,32464,31411,1037.7628636001,1053,82,8490
1610612762,Jazz,3253538,616,35491,35544,71035,7939.13333333333,7712.4,15651.5333333333,33866,32981,945.030349100046,885,82,8010
1610612738,Celtics,4470103,598,36627,36616,73243,7998.63333333333,7945.76666666667,15944.4,35003,34123,760.465929551366,880,82,8669
1610612745,Rockets,4880748,794,48678,48410,97088,10026.6833333333,10352.8166666667,20379.5,46483,45699,1137.10714659856,784,82,8737
1610612764,Wizards,8233034,870,50894,51116,102010,10636.6666666667,11004.8,21641.4666666667,48508,47813,1325.56444083913,695,82,8534
1610612755,76ers,2945430,490,30473,30354,60827,6471.66666666667,6484.51666666667,12956.1833333333,28926,28334,757.183934730535,592,82,7988
1610612743,Nuggets,7928679,713,42650,42310,84960,8934.86666666667,9073.35,18008.2166666667,41329,40798,1065.54922400084,531,82,8355
1610612760,Thunder,3556460,807,49566,48964,98530,10149.6333333333,10665.75,20815.3833333333,46214,45719,1024.74828925693,495,82,9038
1610612748,Heat,6507444,739,47116,46900,94016,10367.3333333333,9909.58333333333,20276.9166666667,43659,43241,1189.13575903314,418,82,8204
1610612766,Hornets,4572286,728,44393,44239,88632,9866.75,9589.96666666667,19456.7166666667,42183,41819,947.716596059106,364,82,8479
1610612765,Pistons,4981965,731,38339,37539,75878,8165.66666666667,8311.18333333333,16476.85,35660,35443,1106.45913179045,217,82,8361
1610612763,Grizzlies,3447864,542,30266,30046,60312,6917.51666666667,6476.58333333333,13394.1,28210,28175,927.814306834163,35,82,8126
1610612739,Cavaliers,4776711,612,35296,35225,70521,7622,7554.46666666667,15176.4666666667,33418,33457,943.874249075599,-39,82,8555
1610612756,Suns,5493964,543,35321,35107,70428,7229.25,7461.31666666667,14690.5666666667,33600,33655,754.950583814542,-55,82,8271
1610612742,Mavericks,4270066,617,32918,33396,66314,7780.58333333333,7218.9,14999.4833333333,31306,31404,851.425225385881,-98,82,8388
1610612749,Bucks,8025801,717,41794,42150,83944,8958.33333333333,9145.36666666667,18103.7,39503,39606,1136.23367579105,-103,82,8122
1610612747,Lakers,4270065,533,31549,31231,62780,6644.58333333333,6698.03333333333,13342.6166666667,29828,29933,849.496024108023,-105,82,7982
1610612754,Pacers,4874919,717,42434,42510,84944,9032.48333333333,9204.78333333333,18237.2666666667,39694,39926,928.249972141318,-232,82,8377
1610612757,Trail Blazers,5084349,715,43009,43435,86444,9424.88333333333,9153.15,18578.0333333333,40732,41148,1024.09937400746,-416,82,8622
1610612737,Hawks,7526757,556,25118,25093,50211,5339.76666666667,5364.25,10704.0166666667,22726,23252,903.807503401653,-526,82,8433
1610612741,Bulls,10574459,615,31022,30638,61660,6605,6616.03333333333,13221.0333333333,28284,28902,906.29374411566,-618,82,8335
1610612753,Magic,4672733,616,33370,33116,66486,7102.86666666667,7148.15,14251.0166666667,30489,31247,815.368890548065,-758,82,8369
1610612758,Kings,8949564,610,29860,30053,59913,6682.55,6433.38333333333,13115.9333333333,27642,28480,922.267546852529,-838,82,8740
1610612740,Pelicans,6911788,868,50328,50780,101108,10632.6,10923.15,21555.75,46421,47306,1195.14052990347,-885,82,8423
1610612750,Timberwolves,5078207,796,54769,54274,109043,11865.25,11482.9833333333,23348.2333333333,51047,52012,1105.4547373281,-965,82,8398
1610612752,Knicks,6301825,643,33888,33808,67696,7193.75,7221.96666666667,14415.7166666667,31043,32187,908.030977558025,-1144,82,8065
1610612751,Nets,9755845,755,38586,38856,77442,8032.41666666667,8192.58333333333,16225,35828,37220,1202.94732958008,-1392,82,8089
,"",90401291,5855,210683,211857,422540,45575.7333333333,45266.15,90841.8833333333,194439,199471,14870.2030116777,-5032,,
