v1,primary_key,game_date,game_sequence,game_id,game_status_id,game_status_text,game_code,home_team_id,away_team_id,season_year,live_period,live_pc_time,broadcaster,live_period_time_broadcast,wh_status,dt,season,season_type
0,21700001,2017-10-17T00:00:00,1,21700001,3,Final,20171017/BOSCLE,1610612739,1610612738,2017,4,,TNT,Q4       - TNT,1,2018-04-13T22:39:11.529,2017-18,Regular Season
1,21700002,2017-10-17T00:00:00,2,21700002,3,Final,20171017/HOUGSW,1610612744,1610612745,2017,4,,TNT,Q4       - TNT,1,2018-04-13T22:39:11.529,2017-18,Regular Season
2,21700003,2017-10-18T00:00:00,1,21700003,3,Final,20171018/CHADET,1610612765,1610612766,2017,4,,"",Q4       -,1,2018-04-13T22:39:11.529,2017-18,Regular Season
3,21700004,2017-10-18T00:00:00,2,21700004,3,Final,20171018/BKNIND,1610612754,1610612751,2017,4,,"",Q4       -,1,2018-04-13T22:39:11.529,2017-18,Regular Season
4,21700005,2017-10-18T00:00:00,3,21700005,3,Final,20171018/MIAORL,1610612753,1610612748,2017,4,,"",Q4       -,1,2018-04-13T22:39:11.529,2017-18,Regular Season
5,21700006,2017-10-18T00:00:00,4,21700006,3,Final,20171018/PHIWAS,1610612764,1610612755,2017,4,,ESPN,Q4       - ESPN,1,2018-04-13T22:39:11.529,2017-18,Regular Season
6,21700007,2017-10-18T00:00:00,5,21700007,3,Final,20171018/MILBOS,1610612738,1610612749,2017,4,,"",Q4       -,1,2018-04-13T22:39:11.529,2017-18,Regular Season
7,21700008,2017-10-18T00:00:00,6,21700008,3,Final,20171018/NOPMEM,1610612763,1610612740,2017,4,,"",Q4       -,1,2018-04-13T22:39:11.529,2017-18,Regular Season
8,21700009,2017-10-18T00:00:00,7,21700009,3,Final,20171018/ATLDAL,1610612742,1610612737,2017,4,,"",Q4       -,1,2018-04-13T22:39:11.529,2017-18,Regular Season
9,21700010,2017-10-18T00:00:00,8,21700010,3,Final,20171018/DENUTA,1610612762,1610612743,2017,4,,"",Q4       -,1,2018-04-13T22:39:11.529,2017-18,Regular Season
