rn,xid_player,n,id_player,name_player
12875,d0201935,2,201935,James Harden
12877,d0201935,2,201935,James Harden
12879,d0201935,2,201935,James Harden
12881,d0201935,2,201935,James Harden
12883,d0201935,2,201935,James Harden
12885,d0201935,2,201935,James Harden
12886,d0201935,2,201935,James Harden
12889,d0201935,2,201935,James Harden
12891,d0201935,2,201935,James Harden
12893,d0201935,2,201935,James Harden
12896,d0201935,2,201935,James Harden
12897,d0201935,2,201935,James Harden
17918,d0002772,2,2772,Trevor Ariza
17920,d0002772,2,2772,Trevor Ariza
17922,d0002772,2,2772,Trevor Ariza
17924,d0002772,2,2772,Trevor Ariza
17926,d0002772,2,2772,Trevor Ariza
17927,d0002772,2,2772,Trevor Ariza
17929,d0002772,2,2772,Trevor Ariza
17931,d0002772,2,2772,Trevor Ariza
17933,d0002772,2,2772,Trevor Ariza
17935,d0002772,2,2772,Trevor Ariza
17937,d0002772,2,2772,Trevor Ariza
17940,d0002772,2,2772,Trevor Ariza
17942,d0002772,2,2772,Trevor Ariza
17944,d0002772,2,2772,Trevor Ariza
17946,d0002772,2,2772,Trevor Ariza
17948,d0002772,2,2772,Trevor Ariza
43265,d0203084,2,203084,Harrison Barnes
43267,d0203084,2,203084,Harrison Barnes
43270,d0203084,2,203084,Harrison Barnes
43272,d0203084,2,203084,Harrison Barnes
43274,d0203084,2,203084,Harrison Barnes
43277,d0203084,2,203084,Harrison Barnes
43279,d0203084,2,203084,Harrison Barnes
43281,d0203084,2,203084,Harrison Barnes
43283,d0203084,2,203084,Harrison Barnes
43287,d0203084,2,203084,Harrison Barnes
197008,d0202355,2,202355,Hassan Whiteside
197010,d0202355,2,202355,Hassan Whiteside
197012,d0202355,2,202355,Hassan Whiteside
197013,d0202355,2,202355,Hassan Whiteside
197015,d0202355,2,202355,Hassan Whiteside
197017,d0202355,2,202355,Hassan Whiteside
197019,d0202355,2,202355,Hassan Whiteside
197021,d0202355,2,202355,Hassan Whiteside
197022,d0204020,2,204020,Tyler Johnson
197023,d0202355,2,202355,Hassan Whiteside
197025,d0204020,2,204020,Tyler Johnson
197027,d1628389,2,1628389,Bam Adebayo
197029,d1628389,2,1628389,Bam Adebayo
197030,d1628389,2,1628389,Bam Adebayo
197032,d1628389,2,1628389,Bam Adebayo
