rn,xid_player,n,id_player,name_player
12876,o0201935,2,201935,James Harden
12878,o0201935,2,201935,James Harden
12880,o0201935,2,201935,James Harden
12882,o0201935,2,201935,James Harden
12884,o0201935,2,201935,James Harden
12887,o0201935,2,201935,James Harden
12888,o0201935,2,201935,James Harden
12890,o0201935,2,201935,James Harden
12892,o0201935,2,201935,James Harden
12894,o0201935,2,201935,James Harden
12895,o0201935,2,201935,James Harden
12898,o0201935,2,201935,James Harden
17919,o0002772,2,2772,Trevor Ariza
17921,o0002772,2,2772,Trevor Ariza
17923,o0002772,2,2772,Trevor Ariza
17925,o0002772,2,2772,Trevor Ariza
17928,o0002772,2,2772,Trevor Ariza
17930,o0002772,2,2772,Trevor Ariza
17932,o0002772,2,2772,Trevor Ariza
17934,o0002772,2,2772,Trevor Ariza
17936,o0002772,2,2772,Trevor Ariza
17938,o0002772,2,2772,Trevor Ariza
17939,o0002772,2,2772,Trevor Ariza
17941,o0002772,2,2772,Trevor Ariza
17943,o0002772,2,2772,Trevor Ariza
17945,o0002772,2,2772,Trevor Ariza
17947,o0002772,2,2772,Trevor Ariza
43264,o0203084,2,203084,Harrison Barnes
43266,o0203084,2,203084,Harrison Barnes
43268,o0203084,2,203084,Harrison Barnes
43269,o0203084,2,203084,Harrison Barnes
43271,o0203084,2,203084,Harrison Barnes
43273,o0203084,2,203084,Harrison Barnes
43275,o0203084,2,203084,Harrison Barnes
43276,o0203084,2,203084,Harrison Barnes
43278,o0203084,2,203084,Harrison Barnes
43280,o0203084,2,203084,Harrison Barnes
43282,o0203084,2,203084,Harrison Barnes
43284,o0203084,2,203084,Harrison Barnes
43285,o0203084,2,203084,Harrison Barnes
43286,o0203084,2,203084,Harrison Barnes
43288,o0203084,2,203084,Harrison Barnes
197009,o0202355,2,202355,Hassan Whiteside
197011,o0202355,2,202355,Hassan Whiteside
197014,o0202355,2,202355,Hassan Whiteside
197016,o0202355,2,202355,Hassan Whiteside
197018,o0202355,2,202355,Hassan Whiteside
197020,o0202355,2,202355,Hassan Whiteside
197024,o0204020,2,204020,Tyler Johnson
197026,o1628389,2,1628389,Bam Adebayo
197028,o1628389,2,1628389,Bam Adebayo
197031,o1628389,2,1628389,Bam Adebayo
197033,o1628389,2,1628389,Bam Adebayo
197034,o1628389,2,1628389,Bam Adebayo
