name,id,gp_total,poss_o,poss_d,poss_total,mp_o,mp_d,mp_total,pts_o,pts_d,pm,pts_o_per100,pts_o_per36
Andrew Wiggins,203952,82,5984,5972,11956,1486.23333333333,1540.08333333333,3026.31666666667,6909,6782,127,57.7868852459016,82.1870370472356
Karl-Anthony Towns,1626157,82,5880,5909,11789,1466.35,1519.71666666667,2986.06666666667,6789,6717,72,57.5875816439053,81.8481391350941
James Harden,201935,81,6026,5953,11979,1452.55,1469.98333333333,2922.53333333333,7134,6877,257,59.5542198847984,87.8771841781103
Giannis Antetokounmpo,203507,80,5393,5417,10810,1404.78333333333,1398.68333333333,2803.46666666667,6186,5960,226,57.2247918593895,79.4359364596214
John Wall,202322,78,5625,5715,11340,1406.75,1393.95,2800.7,6358,6650,-292,56.0670194003527,81.7252829649731
Jimmy Butler,202710,76,5529,5570,11099,1378.2,1403.13333333333,2781.33333333333,6085,5934,151,54.8247589872962,78.7607861936721
Russell Westbrook,201566,81,5629,5796,11425,1407.21666666667,1358.65,2765.86666666667,6224,6429,-205,54.4770240700219,81.0104126494408
Harrison Barnes,203084,79,5170,5111,10281,1443.38333333333,1322.11666666667,2765.5,5677,5780,-103,55.2183639723762,73.9005604773097
CJ McCollum,203468,80,5566,5537,11103,1384.93333333333,1372.75,2757.68333333333,6181,6317,-136,55.6696388363505,80.6894676086812
LeBron James,2544,74,5473,5534,11007,1371.65,1380.11666666667,2751.76666666667,6467,6190,277,58.7535204869629,84.6045570724262
Trevor Ariza,2772,80,5659,5572,11231,1362.86666666667,1377.93333333333,2740.8,6667,6397,270,59.3624788531743,87.5700525394045
Kemba Walker,202689,79,5286,5443,10729,1308.88333333333,1395.53333333333,2704.41666666667,5872,6114,-242,54.7301705657564,78.1654700644008
Rudy Gobert,203497,81,5076,5063,10139,1317.68333333333,1385.61666666667,2703.3,5431,5653,-222,53.5654403787356,72.3249361891022
Devin Booker,1626164,78,5572,5659,11231,1355.9,1343.73333333333,2699.63333333333,6388,6299,89,56.8782833229454,85.1849016533109
Anthony Davis,203076,75,5335,5445,10780,1299.93333333333,1379.23333333333,2679.16666666667,5805,5823,-18,53.8497217068646,78.001866251944
Paul George,202331,75,5193,5216,10409,1335.71666666667,1333.65,2669.36666666667,5884,5915,-31,56.528004611394,79.3536544248948
Damian Lillard,203081,75,5376,5416,10792,1327.65,1336.66666666667,2664.31666666667,6025,6197,-172,55.8283914010378,81.4092418944195
Bradley Beal,203078,77,5297,5352,10649,1323.73333333333,1319.28333333333,2643.01666666667,5934,6214,-280,55.7235421166307,80.825824026838
Jeff Teague,201952,82,5150,5218,10368,1304.75,1326.38333333333,2631.13333333333,5884,5880,4,56.7515432098766,80.5067524767527
Gorgui Dieng,203476,82,5096,5155,10251,1285.11666666667,1332.06666666667,2617.18333333333,5826,5733,93,56.8334796605209,80.1380619113423
Stephen Curry,201939,79,5472,5412,10884,1269.13333333333,1339.73333333333,2608.86666666667,6683,5953,730,61.4020580668872,92.2193545089822
DeMar DeRozan,201942,74,5148,5202,10350,1277.68333333333,1324.86666666667,2602.55,5758,5855,-97,55.6328502415459,79.648037501681
Klay Thompson,202691,78,5275,5373,10648,1270.35,1331.55,2601.9,6261,5862,399,58.7997746055597,86.6274645451401
Nicolas Batum,201587,77,5105,5176,10281,1265.05,1318.8,2583.85,5691,5791,-100,55.3545374963525,79.2909805135747
Otto Porter Jr.,203490,80,5099,5233,10332,1275.66666666667,1285.93333333333,2561.6,5807,5980,-173,56.2040263259776,81.6099312929419
Marcus Morris,202694,79,4906,5149,10055,1254.66666666667,1282.56666666667,2537.23333333333,5470,5330,140,54.4007956240676,77.6120971662047
Tobias Harris,202699,82,4887,5042,9929,1268.15,1268.98333333333,2537.13333333333,5507,5382,125,55.4637929298016,78.140158183777
Isaiah Thomas,202738,76,5075,5185,10260,1255.85,1274.1,2529.95,6060,5758,302,59.0643274853801,86.2309531808929
DeAndre Jordan,201599,81,5008,5083,10091,1256.53333333333,1270.73333333333,2527.26666666667,5859,5529,330,58.0616390843326,83.4593368329421
Marcin Gortat,101162,82,5038,5081,10119,1271.96666666667,1248.56666666667,2520.53333333333,5694,5825,-131,56.2703824488586,81.3256453660601
Carmelo Anthony,2546,74,5125,5177,10302,1248.56666666667,1259.5,2508.06666666667,5687,5617,70,55.2028732284993,81.629409106616
Myles Turner,1626167,81,4889,4903,9792,1253.36666666667,1250.73333333333,2504.1,5551,5506,45,56.6891339869281,79.8035222235534
Kentavious Caldwell-Pope,203484,76,4861,5106,9967,1243.53333333333,1258.71666666667,2502.25,5547,5331,216,55.6536570683255,79.8049755220302
Kyrie Irving,202681,72,5061,5107,10168,1243.81666666667,1257.23333333333,2501.05,5941,5719,222,58.4284028324154,85.514483916755
Marc Gasol,201188,74,4666,4827,9493,1187.75,1306.7,2494.45,5216,5295,-79,54.9457494996313,75.2775160857103
Gordon Hayward,202330,73,4705,4647,9352,1211.01666666667,1274.43333333333,2485.45,5115,5218,-103,54.6941830624465,74.0871874308475
Hassan Whiteside,202355,77,4905,4916,9821,1229.5,1245.66666666667,2475.16666666667,5403,5346,57,55.0147642806232,78.5837990707696
Wesley Matthews,202083,73,4621,4575,9196,1291.23333333333,1173.73333333333,2464.96666666667,5084,5160,-76,55.2849064810787,74.2500912791248
Dennis Schroder,203471,79,4870,4947,9817,1189.61666666667,1256.41666666667,2446.03333333333,5322,5468,-146,54.2120810838342,78.3276324934247
Kawhi Leonard,202695,74,4679,4766,9445,1194.73333333333,1243.96666666667,2438.7,5153,5456,-303,54.5579671784013,76.0683970968139
Ricky Rubio,201937,75,4763,4844,9607,1184.61666666667,1246.25,2430.86666666667,5429,5465,-36,56.5108774851671,80.4009543921235
DeMarcus Cousins,202326,72,4694,4682,9376,1192.35,1238.11666666667,2430.46666666667,5392,5298,94,57.5085324232082,79.8661436761116
Draymond Green,203110,76,5004,4993,9997,1183.43333333333,1244.1,2427.53333333333,5910,5460,450,59.1177353205962,87.644522560624
Goran Dragic,201609,73,4852,4850,9702,1214.68333333333,1210.56666666667,2425.25,5407,5255,152,55.7307771593486,80.2605916915782
Courtney Lee,201584,77,4888,4941,9829,1207.21666666667,1209.53333333333,2416.75,5386,5406,-20,54.7970291993082,80.2300610323782
Marcus Smart,203935,79,4804,4797,9601,1204.65,1196.43333333333,2401.08333333333,5439,5248,191,56.6503489219873,81.548190053101
Elfrid Payton,203901,82,4840,4873,9713,1192.03333333333,1194.31666666667,2386.35,5400,5276,124,55.5955935344384,81.463322647558
Jordan Clarkson,203903,82,4795,4802,9597,1177.91666666667,1202.21666666667,2380.13333333333,5487,5351,136,57.1741169115349,82.9919892443001
Serge Ibaka,201586,79,4695,4742,9437,1188.05,1189.3,2377.35,5232,5140,92,55.4413478859807,79.2277115275412
Andre Drummond,203083,81,4562,4817,9379,1182.21666666667,1193.28333333333,2375.5,5262,4987,275,56.1040622667662,79.744053883393
Steven Adams,203500,80,4749,4864,9613,1196.28333333333,1151.15,2347.43333333333,5167,5364,-197,53.750130032248,79.2405890121125
Andre Roberson,203460,79,4725,4825,9550,1194.9,1147.21666666667,2342.11666666667,5142,5305,-163,53.8429319371728,79.0361994492162
Solomon Hill,203524,80,4697,4758,9455,1140.11666666667,1199.08333333333,2339.2,5117,5181,-64,54.1195134849286,78.75
Eric Gordon,201569,75,4781,4767,9548,1146.23333333333,1175.55,2321.78333333333,5529,5272,257,57.9074151654797,85.7289296302411
Markieff Morris,202693,76,4624,4668,9292,1161.03333333333,1155.33333333333,2316.36666666667,5167,5359,-192,55.6069737408524,80.303348635075
Paul Millsap,200794,69,4595,4617,9212,1135,1179.1,2314.1,5077,5063,14,55.1128962223187,78.9818936087464
LaMarcus Aldridge,200746,72,4367,4473,8840,1124.58333333333,1183.21666666667,2307.8,4725,5005,-280,53.4502262443439,73.7065603605165
Tristan Thompson,202684,78,4642,4687,9329,1149.41666666667,1157.6,2307.01666666667,5276,5185,91,56.5548290277629,82.3297043078724
Michael Kidd-Gilchrist,203077,81,4494,4635,9129,1111.76666666667,1194.31666666667,2306.08333333333,4948,5032,-84,54.2008982363895,77.2426552957757
Tony Snell,203503,80,4456,4505,8961,1147.76666666667,1152.18333333333,2299.95,5141,4992,149,57.3708291485325,80.4695754255527
Jae Crowder,203109,72,4611,4692,9303,1141,1154,2295,5417,5037,380,58.2285284316887,84.9725490196079
Brandon Ingram,1627742,79,4552,4577,9129,1126.91666666667,1137.11666666667,2264.03333333333,5186,5147,39,56.8079745864826,82.4616834263335
Aaron Gordon,203932,80,4547,4632,9179,1123.83333333333,1137.85,2261.68333333333,5196,4964,232,56.6074735810001,82.7065386400984
Mike Conley,201144,69,4239,4400,8639,1075.98333333333,1184.55,2260.53333333333,4754,4889,-135,55.0295173052437,75.7095670638198
Allen Crabbe,203459,79,4479,4438,8917,1136.13333333333,1119.56666666667,2255.7,5098,4992,106,57.1716945160929,81.3618832291528
Marvin Williams,101107,76,4397,4504,8901,1091.65,1158.31666666667,2249.96666666667,4938,4915,23,55.4769127064375,79.0091705062297
Robin Lopez,201577,81,4463,4503,8966,1106.58333333333,1127.95,2234.53333333333,4824,4828,-4,53.8032567477136,77.7182409451638
PJ Tucker,200782,81,4407,4483,8890,1108.28333333333,1121.33333333333,2229.61666666667,4965,4943,22,55.8492688413948,80.1662468137273
Evan Fournier,203095,68,4442,4485,8927,1102.43333333333,1102.96666666667,2205.4,4971,4738,233,55.6850005600986,81.1444635893716
Kyle Lowry,200768,60,4269,4349,8618,1078.8,1121.95,2200.75,4730,4991,-261,54.8851241587375,77.3736226286493
Thaddeus Young,201152,74,4306,4384,8690,1086.26666666667,1113.45,2199.71666666667,4840,4889,-49,55.6962025316456,79.2102013138056
Maurice Harkless,203090,77,4435,4443,8878,1104.3,1088.85,2193.15,4921,5145,-224,55.4291507096193,80.7769646399015
Wilson Chandler,201163,71,4443,4479,8922,1082.76666666667,1105.13333333333,2187.9,5023,5183,-160,56.2990360905627,82.6491155902921
Brook Lopez,201572,75,4587,4593,9180,1084.05,1100.35,2184.4,5055,5060,-5,55.0653594771242,83.3089177806263
Victor Oladipo,203506,67,4385,4462,8847,1116.66666666667,1063,2179.66666666667,4759,4873,-114,53.7922459590822,78.6010093286435
Nik Stauskas,203917,80,4343,4346,8689,1095.66666666667,1082.28333333333,2177.95,4852,4724,128,55.8407181493843,80.200188250419
