is_active,is_rookie,name_player,id_player,count_seasons,name_team,name_player_last_first,year_season_first,year_season_last,slug_player,id_team,city_team,team_name,slug_team,code_team,has_games_played_flag,url_player_stats,url_player_thumbnail,url_player_headshot,url_player_action_photo,name_player_last,name_player_first
TRUE,FALSE,Alex Abrines,203518,2,Oklahoma City Thunder,"Abrines, Alex",2016,2018,alex_abrines,1610612760,Oklahoma City,Thunder,OKC,thunder,TRUE,https://stats.nba.com/player/203518,https://stats.nba.com/media/players/230x185/203518.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203518.png,https://stats.nba.com/media/players/700/203518.png,Abrines, Alex
FALSE,FALSE,Quincy Acy,203112,5,,"Acy, Quincy",2012,2017,quincy_acy,,,,,,TRUE,https://stats.nba.com/player/203112,https://stats.nba.com/media/players/230x185/203112.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203112.png,https://stats.nba.com/media/players/700/203112.png,Acy, Quincy
TRUE,FALSE,Steven Adams,203500,5,Oklahoma City Thunder,"Adams, Steven",2013,2018,steven_adams,1610612760,Oklahoma City,Thunder,OKC,thunder,TRUE,https://stats.nba.com/player/203500,https://stats.nba.com/media/players/230x185/203500.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203500.png,https://stats.nba.com/media/players/700/203500.png,Adams, Steven
FALSE,FALSE,Arron Afflalo,201167,10,,"Afflalo, Arron",2007,2017,arron_afflalo,,,,,,TRUE,https://stats.nba.com/player/201167,https://stats.nba.com/media/players/230x185/201167.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201167.png,https://stats.nba.com/media/players/700/201167.png,Afflalo, Arron
FALSE,FALSE,Alexis Ajinca,201582,9,,"Ajinca, Alexis",2008,2017,alexis_ajinca,,,,,,TRUE,https://stats.nba.com/player/201582,https://stats.nba.com/media/players/230x185/201582.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201582.png,https://stats.nba.com/media/players/700/201582.png,Ajinca, Alexis
FALSE,FALSE,Cole Aldrich,202332,7,,"Aldrich, Cole",2010,2017,cole_aldrich,,,,,,TRUE,https://stats.nba.com/player/202332,https://stats.nba.com/media/players/230x185/202332.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202332.png,https://stats.nba.com/media/players/700/202332.png,Aldrich, Cole
TRUE,FALSE,LaMarcus Aldridge,200746,12,San Antonio Spurs,"Aldridge, LaMarcus",2006,2018,lamarcus_aldridge,1610612759,San Antonio,Spurs,SAS,spurs,TRUE,https://stats.nba.com/player/200746,https://stats.nba.com/media/players/230x185/200746.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/200746.png,https://stats.nba.com/media/players/700/200746.png,Aldridge, LaMarcus
FALSE,FALSE,Lavoy Allen,202730,5,,"Allen, Lavoy",2011,2016,lavoy_allen,,,,,,TRUE,https://stats.nba.com/player/202730,https://stats.nba.com/media/players/230x185/202730.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202730.png,https://stats.nba.com/media/players/700/202730.png,Allen, Lavoy
FALSE,FALSE,Tony Allen,2754,13,,"Allen, Tony",2004,2017,tony_allen,,,,,,TRUE,https://stats.nba.com/player/2754,https://stats.nba.com/media/players/230x185/2754.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2754.png,https://stats.nba.com/media/players/700/2754.png,Allen, Tony
TRUE,FALSE,Al-Farouq Aminu,202329,8,Portland Trail Blazers,"Aminu, Al-Farouq",2010,2018,al-farouq_aminu,1610612757,Portland,Trail Blazers,POR,blazers,TRUE,https://stats.nba.com/player/202329,https://stats.nba.com/media/players/230x185/202329.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202329.png,https://stats.nba.com/media/players/700/202329.png,Aminu, Al-Farouq
FALSE,FALSE,Chris Andersen,2365,15,,"Andersen, Chris",2001,2016,chris_andersen,,,,,,TRUE,https://stats.nba.com/player/2365,https://stats.nba.com/media/players/230x185/2365.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2365.png,https://stats.nba.com/media/players/700/2365.png,Andersen, Chris
FALSE,FALSE,Alan Anderson,101187,11,,"Anderson, Alan",2005,2016,alan_anderson,,,,,,TRUE,https://stats.nba.com/player/101187,https://stats.nba.com/media/players/230x185/101187.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/101187.png,https://stats.nba.com/media/players/700/101187.png,Anderson, Alan
TRUE,FALSE,Justin Anderson,1626147,3,Atlanta Hawks,"Anderson, Justin",2015,2018,justin_anderson,1610612737,Atlanta,Hawks,ATL,hawks,TRUE,https://stats.nba.com/player/1626147,https://stats.nba.com/media/players/230x185/1626147.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626147.png,https://stats.nba.com/media/players/700/1626147.png,Anderson, Justin
