season,id_player,name_player,name_player_summary_nbastatr,gp_calc_total,gp_summary_nbastatr,poss_calc_o,poss_calc_d,poss_calc_total,mp_calc_o,mp_calc_d,mp_calc_total,mp_game_logs_nbastatr,mp_summary1_nbastatr,mp_summary2_nbastatr,pts_calc_o,pts_calc_d,pts_o_per100_calc,pm_calc,pm_game_logs_nbastatr
2015,203110,Draymond Green,Draymond Green,81,81,6725,6866,13591,1307.9,1496.45,2804.35,2807,2808,2808,6992,5913,103.970260223048,1079,1080
2015,201939,Stephen Curry,Stephen Curry,79,79,6517,6645,13162,1256.28333333333,1438.91666666667,2695.2,2705,2700,2700,6775,5754,103.958876783796,1021,1030
2015,202691,Klay Thompson,Klay Thompson,80,80,6258,6477,12735,1242.7,1407.73333333333,2650.43333333333,2661,2666,2666,6495,5651,103.787152444871,844,846
2015,202695,Kawhi Leonard,Kawhi Leonard,72,72,5323,5293,10616,1231.1,1144.61666666667,2375.71666666667,2381,2380,2380,5172,4490,97.1632538042457,682,652
2015,201566,Russell Westbrook,Russell Westbrook,80,80,6698,6548,13246,1322.56666666667,1423.7,2746.26666666667,2749,2750,2750,6497,5842,96.999104210212,655,631
2015,201142,Kevin Durant,Kevin Durant,72,72,6243,6148,12391,1250.91666666667,1326.61666666667,2577.53333333333,2577,2578,2578,6113,5475,97.9176677879225,638,647
2015,2544,LeBron James,LeBron James,76,76,6211,6058,12269,1384.83333333333,1319.8,2704.63333333333,2708,2709,2709,6069,5477,97.7137336982773,592,618
2015,201980,Danny Green,Danny Green,79,79,4595,4528,9123,1062.48333333333,984.916666666667,2047.4,2063,2062,2062,4379,3856,95.2992383025027,523,506
2015,200746,LaMarcus Aldridge,LaMarcus Aldridge,74,74,5013,5007,10020,1171.03333333333,1086.86666666667,2257.9,2259,2261,2261,4851,4339,96.7684021543986,512,509
2015,101108,Chris Paul,Chris Paul,74,74,5556,5673,11229,1193.38333333333,1220.78333333333,2414.16666666667,2425,2420,2420,5503,4992,99.0460763138949,511,555
2015,201586,Serge Ibaka,Serge Ibaka,78,78,6001,5935,11936,1203.31666666667,1287.83333333333,2491.15,2504,2500,2500,5802,5309,96.6838860189968,493,532
2015,201599,DeAndre Jordan,DeAndre Jordan,77,77,5936,6066,12002,1277.85,1312.48333333333,2590.33333333333,2600,2598,2598,5812,5335,97.911051212938,477,436
2015,200755,JJ Redick,J.J. Redick,75,75,4803,4904,9707,1031.28333333333,1058.2,2089.48333333333,2097,2097,2097,4736,4278,98.6050385175932,458,510
2015,203500,Steven Adams,Steven Adams,80,80,4821,4712,9533,969.366666666667,1040.05,2009.41666666667,2019,2014,2014,4559,4101,94.5654428541796,458,473
2015,2738,Andre Iguodala,Andre Iguodala,65,65,4152,4251,8403,823.366666666667,906.25,1729.61666666667,1735,1732,1732,4129,3679,99.4460500963391,450,455
2015,101106,Andrew Bogut,Andrew Bogut,70,70,3361,3441,6802,680.016666666667,762.2,1442.21666666667,1452,1451,1451,3378,2941,100.505801844689,437,406
2015,2225,Tony Parker,Tony Parker,72,72,4376,4378,8754,1034.38333333333,938.25,1972.63333333333,1979,1980,1980,4192,3782,95.7952468007313,410,415
2015,203084,Harrison Barnes,Harrison Barnes,66,66,4810,4882,9692,982.116666666667,1059.33333333333,2041.45,2043,2042,2042,4787,4380,99.5218295218295,407,460
2015,1495,Tim Duncan,Tim Duncan,61,61,3437,3384,6821,798.683333333333,734.35,1533.03333333333,1534,1536,1536,3248,2851,94.5010183299389,397,426
2015,201988,Patty Mills,Patty Mills,81,81,3788,3808,7596,846.15,819.783333333333,1665.93333333333,1659,1662,1662,3685,3293,97.2808870116156,392,377
