slug_season,name_player,group_position,year_season,id_position,slug_player_bref,id_player_nba,name_player_bref,url_player_thumbnail,url_player_headshot,year_season_first,id_player_season,age_player,slug_team_bref,count_games,is_hof_player,minutes,ratio_per,pct_true_shooting,pct3p_rate,pct_ft_rate,pct_orb,pct_drb,pct_trb,pct_ast,pct_stl,pct_blk,pct_tov,pct_usg,ratio_ows,ratio_dws,ratio_ws,ratio_ws_per48,ratio_obpm,ratio_dbpm,ratio_bpm,ratio_vorp,count_games_started,pct_fg,pct_fg3,pct_fg2,pct_efg,pct_ft,minutes_totals,fgm_totals,fga_totals,fg3m_totals,fg3a_totals,fg2m_totals,fg2a_totals,ftm_totals,fta_totals,orb_totals,drb_totals,trb_totals,ast_totals,stl_totals,blk_totals,tov_totals,pf_totals,pts_totals,url_player_bref
2015-16,Aaron Brooks,G,2016,PG,brookaa01,201166,Aaron Brooks,https://stats.nba.com/media/players/230x185/201166.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201166.png,2007,brookaa01_2016,31,CHI,69,FALSE,1108,11.8,0.494,0.394,0.136,0.02,0.075,0.048,0.26,0.014,0.7,0.142,0.229,0.2,0.7,0.9,0.04,-0.5,-2.8,-3.3,-0.4,0,0.401,0.357,0.43,0.471,0.766,1108,188,469,66,185,122,284,49,64,21,80,101,180,30,10,82,132,491,http://www.basketball-reference.com/players/b/brookaa01.html
2015-16,Aaron Gordon,F,2016,PF,gordoaa01,203932,Aaron Gordon,https://stats.nba.com/media/players/230x185/203932.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203932.png,2014,gordoaa01_2016,20,ORL,78,FALSE,1863,17,0.541,0.245,0.333,0.09,0.213,0.151,0.103,0.016,0.024,0.09,0.173,3.2,2.2,5.4,0.139,0.6,1.2,1.8,1.8,37,0.473,0.296,0.531,0.509,0.668,1863,274,579,42,142,232,437,129,193,154,353,507,128,59,55,66,153,719,http://www.basketball-reference.com/players/g/gordoaa01.html
2015-16,Aaron Harrison,G,2016,SG,harriaa01,1626151,Aaron Harrison,https://stats.nba.com/media/players/230x185/1626151.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626151.png,2015,harriaa01_2016,21,CHO,21,FALSE,93,4.3,0.371,0.526,0.632,0.047,0.131,0.088,0.03,0.032,0,0.141,0.137,-0.2,0.1,0,-0.014,-5.6,0.1,-5.5,-0.1,0,0.263,0.3,0.222,0.342,0.417,93,5,19,3,10,2,9,5,12,4,11,15,2,6,0,4,10,18,http://www.basketball-reference.com/players/h/harriaa01.html
2015-16,Adreian Payne,F,2016,PF,paynead01,203940,Adreian Payne,https://stats.nba.com/media/players/230x185/203940.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203940.png,2014,paynead01_2016,24,MIN,52,FALSE,486,5.6,0.422,0.221,0.179,0.048,0.215,0.133,0.089,0.017,0.018,0.187,0.177,-0.9,0.4,-0.5,-0.047,-5.9,-0.2,-6.1,-0.5,2,0.366,0.281,0.389,0.397,0.654,486,53,145,9,32,44,113,17,26,20,91,111,29,16,11,36,77,132,http://www.basketball-reference.com/players/p/paynead01.html
2015-16,Al-Farouq Aminu,F,2016,SF,aminual01,202329,Al-Farouq Aminu,https://stats.nba.com/media/players/230x185/202329.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202329.png,2010,aminual01_2016,25,POR,82,FALSE,2341,12.7,0.533,0.485,0.217,0.045,0.186,0.115,0.088,0.015,0.018,0.132,0.169,1.7,2.3,4,0.082,-0.4,0.7,0.2,1.3,82,0.416,0.361,0.468,0.503,0.737,2341,299,719,126,349,173,370,115,156,98,401,499,138,72,53,120,171,839,http://www.basketball-reference.com/players/a/aminual01.html
2015-16,Al Horford,C,2016,C,horfoal01,201143,Al Horford,https://stats.nba.com/media/players/230x185/201143.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201143.png,2007,horfoal01_2016,29,ATL,82,FALSE,2631,19.4,0.565,0.244,0.123,0.063,0.182,0.124,0.167,0.013,0.036,0.088,0.206,4.9,4.5,9.4,0.172,1.5,2.6,4.1,4.1,82,0.505,0.344,0.557,0.547,0.798,2631,529,1048,88,256,441,792,103,129,148,448,596,263,68,121,107,163,1249,http://www.basketball-reference.com/players/h/horfoal01.html
2015-16,Al Jefferson,C,2016,C,jeffeal01,2744,Al Jefferson,https://stats.nba.com/media/players/230x185/2744.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2744.png,2004,jeffeal01_2016,31,CHO,47,FALSE,1096,18.2,0.507,0,0.22,0.056,0.246,0.15,0.118,0.014,0.03,0.058,0.242,1,1.8,2.8,0.123,-2.3,1.2,-1.1,0.2,18,0.485,,0.485,0.485,0.649,1096,245,505,0,0,245,505,72,111,57,244,301,70,30,41,34,117,562,http://www.basketball-reference.com/players/j/jeffeal01.html
2015-16,Alan Anderson,G,2016,SG,anderal01,101187,Alan Anderson,https://stats.nba.com/media/players/230x185/101187.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/101187.png,2005,anderal01_2016,33,WAS,13,FALSE,192,9.2,0.495,0.627,0.254,0.6,0.155,0.079,0.103,0.01,0.4,0.03,0.154,0.2,0.2,0.3,0.078,-1.2,-1.7,-2.8,0,0,0.356,0.324,0.409,0.458,0.733,192,21,59,12,37,9,22,11,15,1,26,27,14,4,1,2,25,65,http://www.basketball-reference.com/players/a/anderal01.html
2015-16,Alan Williams,F,2016,PF,willial03,1626210,Alan Williams,https://stats.nba.com/media/players/230x185/1626210.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626210.png,2015,willial03_2016,23,PHO,10,FALSE,68,21.1,0.481,0,0.583,0.219,0.392,0.303,0.117,0.029,0.06,0.166,0.226,0.1,0.2,0.2,0.146,-2.5,4,1.5,0.1,0,0.417,,0.417,0.417,0.643,68,10,24,0,0,10,24,9,14,14,24,38,5,4,5,6,15,29,http://www.basketball-reference.com/players/w/willial03.html
2015-16,Alec Burks,G,2016,SG,burksal01,202692,Alec Burks,https://stats.nba.com/media/players/230x185/202692.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202692.png,2011,burksal01_2016,24,UTA,31,FALSE,797,14.3,0.52,0.237,0.422,0.024,0.136,0.08,0.139,0.012,0.4,0.114,0.259,0.7,0.8,1.5,0.09,-0.9,-1.6,-2.5,-0.1,3,0.41,0.405,0.412,0.458,0.752,797,137,334,32,79,105,255,106,141,16,93,109,63,18,4,51,71,412,http://www.basketball-reference.com/players/b/burksal01.html
2015-16,Alex Len,C,2016,C,lenal01,203458,Alex Len,https://stats.nba.com/media/players/230x185/203458.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203458.png,2013,lenal01_2016,22,PHO,78,FALSE,1821,12.4,0.482,0.011,0.383,0.104,0.254,0.177,0.085,0.01,0.028,0.166,0.204,-0.5,1.8,1.3,0.035,-4.4,0.7,-3.6,-0.7,46,0.423,0.143,0.426,0.424,0.728,1821,264,624,1,7,263,617,174,239,178,416,594,97,38,62,145,230,703,http://www.basketball-reference.com/players/l/lenal01.html
