rn,xid_player,n,id_player,name_player
29420,d0201952,2,,
29422,d0201952,2,,
29423,d0201952,2,,
29426,d0201952,2,,
29428,d0201952,2,,
29430,d0201952,2,,
29432,d0201952,2,,
29434,d0201952,2,,
29436,d0201952,2,,
29437,d0201952,2,,
29439,d0201952,2,,
29444,d0201952,2,,
29447,d0201952,2,,
29448,d0201952,2,,
29451,d0201952,2,,
29453,d0201952,2,,
29455,d0201952,2,,
29457,d0201952,2,,
29459,d0201952,2,,
29461,d0201952,2,,
29463,d0201952,2,,
29465,d0201952,2,,
29467,d0201952,2,,
29469,d0201952,2,,
31292,d0202339,2,,
31294,d0202339,2,,
31296,d0202688,2,,
31299,d0202688,2,,
31301,d0202688,2,,
31303,d0202688,2,,
53000,d0203506,2,,
53002,d0203506,2,,
53004,d0203506,2,,
53006,d0203506,2,,
53008,d0203506,2,,
53010,d0203506,2,,
53012,d0203506,2,,
53014,d0203506,2,,
53016,d0203506,2,,
53018,d0203506,2,,
53019,d0203506,2,,
64874,d0200746,2,,
64876,d0200746,2,,
64878,d0200746,2,,
64879,d0200746,2,,
64881,d0200746,2,,
64883,d0200746,2,,
64885,d0200746,2,,
64887,d0200746,2,,
64889,d0200746,2,,
64891,d0200746,2,,
64893,d0200746,2,,
64895,d0200746,2,,
64897,d0200746,2,,
64899,d0200746,2,,
64901,d0200746,2,,
64903,d0200746,2,,
64905,d0200746,2,,
64907,d0200746,2,,
64909,d0200746,2,,
64912,d0200746,2,,
64913,d0200746,2,,
64917,d0200746,2,,
64920,d0200746,2,,
64922,d0200746,2,,
83342,d0201142,2,,
83344,d0201142,2,,
83347,d0201142,2,,
83355,d0002738,2,,
83357,d0002738,2,,
83359,d0002738,2,,
83362,d0002738,2,,
83364,d0002738,2,,
83366,d0002738,2,,
83368,d0002738,2,,
83370,d0002738,2,,
83372,d0002738,2,,
83374,d0002738,2,,
83376,d0002738,2,,
83378,d0002738,2,,
83380,d0002738,2,,
83382,d0002738,2,,
83384,d0002738,2,,
83386,d0002738,2,,
83388,d0002738,2,,
83390,d0002738,2,,
83392,d0002738,2,,
83395,d0002738,2,,
83398,d0002738,2,,
83400,d0002738,2,,
83401,d0002738,2,,
83404,d0002738,2,,
90279,d0201156,2,,
90280,d0201156,2,,
90281,d0201156,2,,
90283,d0201156,2,,
90285,d0201156,2,,
90287,d0201156,2,,
90289,d0201156,2,,
90291,d0201156,2,,
90294,d0201156,2,,
90296,d0201156,2,,
90298,d0201156,2,,
90300,d0201156,2,,
90301,d0201156,2,,
90302,d0201156,2,,
90304,d0201156,2,,
90307,d0201156,2,,
90309,d0201156,2,,
92712,d0202331,2,,
92714,d0202331,2,,
92716,d0202331,2,,
92717,d0202331,2,,
92719,d0202331,2,,
92721,d0202331,2,,
92723,d0202331,2,,
92725,d0202331,2,,
92727,d0202331,2,,
92729,d0202331,2,,
92731,d0202331,2,,
92732,d0202331,2,,
92734,d0202331,2,,
92736,d0202331,2,,
92738,d0202331,2,,
92740,d0202331,2,,
92742,d0202331,2,,
92744,d0202331,2,,
92746,d0202331,2,,
92747,d0202331,2,,
92749,d0202331,2,,
92751,d0202331,2,,
92754,d0202331,2,,
92756,d0202331,2,,
92758,d0202331,2,,
92760,d0202331,2,,
92761,d0202331,2,,
92763,d0202331,2,,
92765,d0202331,2,,
100842,d0201949,2,,
113693,d0002225,2,,
113695,d0002225,2,,
113696,d0002225,2,,
113698,d0002225,2,,
113700,d0002225,2,,
113702,d0002225,2,,
113704,d0002225,2,,
113706,d0002225,2,,
113708,d0002225,2,,
113711,d0002225,2,,
113714,d0002225,2,,
113716,d0002225,2,,
113718,d0002225,2,,
113720,d0002225,2,,
113722,d0002225,2,,
113723,d0201988,2,,
113725,d0201988,2,,
113727,d0201988,2,,
113729,d0201988,2,,
113731,d0201988,2,,
113733,d0201988,2,,
113735,d0201988,2,,
113738,d0201988,2,,
113741,d0201988,2,,
170216,d0202697,2,,
170218,d0002594,2,,
170219,d1626195,2,,
170220,d0202697,2,,
170221,d1626195,2,,
170222,d0202697,2,,
170223,d1626195,2,,
170224,d0202697,2,,
170225,d1626195,2,,
170226,d0202697,2,,
170227,d1626195,2,,
170239,d0002594,2,,
170242,d0002594,2,,
170244,d0002594,2,,
170246,d0002594,2,,
170248,d0002594,2,,
170249,d0002594,2,,
170250,d1626195,2,,
170251,d0002594,2,,
170252,d1626195,2,,
236550,d0203110,2,,
236552,d0002440,2,,
236554,d0002440,2,,
236556,d0002440,2,,
236559,d0002440,2,,
236561,d0002440,2,,
236563,d0002440,2,,
245552,d0204025,2,,
245554,d0204025,2,,
245556,d0204025,2,,
245558,d0204025,2,,
245559,d0204025,2,,
245561,d0204025,2,,
245563,d0204025,2,,
245565,d0204025,2,,
245567,d0204025,2,,
245569,d0204025,2,,
245571,d0204025,2,,
245573,d0204025,2,,
251674,d1626204,2,,
251676,d1626204,2,,
251678,d1626204,2,,
251679,d1626204,2,,
251682,d1626204,2,,
251684,d1626204,2,,
251686,d1626204,2,,
251688,d1626204,2,,
251689,d1626204,2,,
