rn,xid_player,n,id_player,name_player
28436,d0202362,2,,
28438,d0202362,2,,
28440,d0203085,2,,
28442,d0203085,2,,
28444,d0203085,2,,
28445,d0203085,2,,
28447,d0203085,2,,
28449,d0203085,2,,
28451,d0203085,2,,
28453,d0203085,2,,
28454,d0203085,2,,
28456,d0203085,2,,
28458,d0203085,2,,
28460,d0203085,2,,
28462,d0203085,2,,
28464,d0203085,2,,
28466,d0203085,2,,
28467,d0203085,2,,
28469,d0203085,2,,
28471,d0203085,2,,
61839,d0002446,2,,
61854,d0002446,2,,
61856,d0002564,2,,
61858,d0002564,2,,
61860,d0002564,2,,
61862,d0002564,2,,
61865,d0002564,2,,
61867,d0002564,2,,
61869,d0002564,2,,
61871,d0002564,2,,
61873,d0002564,2,,
61875,d0002446,2,,
61876,d0002446,2,,
61877,d0002446,2,,
61879,d0002446,2,,
61881,d0002446,2,,
112456,d0202353,2,,
112458,d0202353,2,,
112460,d0202353,2,,
112462,d0202353,2,,
112464,d0202353,2,,
112466,d0202353,2,,
112468,d0203187,2,,
112470,d0203187,2,,
112472,d0203187,2,,
127506,d0101181,2,,
127507,d0203935,2,,
127508,d0101181,2,,
127509,d0203935,2,,
127510,d0101181,2,,
127511,d0203935,2,,
127535,d0203935,2,,
127537,d0203935,2,,
127538,d0202498,2,,
127539,d0201973,2,,
127540,d0101181,2,,
127541,d0203935,2,,
127542,d0101181,2,,
149915,d0201962,2,,
149916,d0202708,2,,
149937,d0201962,2,,
149939,d0201962,2,,
153537,d0201601,2,,
157921,d0203084,2,,
157924,d0203084,2,,
157926,d0203084,2,,
157928,d0203084,2,,
157930,d0203084,2,,
157932,d0203084,2,,
157934,d0203084,2,,
157937,d0203084,2,,
157940,d0203084,2,,
157942,d0203084,2,,
157944,d0203084,2,,
157946,d0203084,2,,
157948,d0203084,2,,
157950,d0203084,2,,
157952,d0203084,2,,
157954,d0203084,2,,
157956,d0203084,2,,
157957,d0203084,2,,
157959,d0203084,2,,
220711,d0202344,2,,
220713,d0202344,2,,
220715,d0202344,2,,
220718,d0202344,2,,
220720,d0202344,2,,
220722,d0202344,2,,
220724,d0202344,2,,
220726,d0202344,2,,
220727,d0202344,2,,
220730,d0202344,2,,
220732,d0202344,2,,
220735,d0202344,2,,
220736,d0202344,2,,
220738,d0202344,2,,
220740,d0202344,2,,
220742,d0202344,2,,
220744,d1626168,2,,
220747,d1626168,2,,
220749,d1626168,2,,
220751,d1626168,2,,
220753,d1626168,2,,
220755,d1626168,2,,
220757,d1626168,2,,
220758,d1626168,2,,
220760,d1626168,2,,
220762,d1626168,2,,
220764,d1626168,2,,
245848,d0201952,2,,
245996,d0002594,2,,
245997,d0201952,2,,
245999,d0201952,2,,
