rn,xid_player,n,id_player,name_player
29421,o0201952,2,,
29424,o0201952,2,,
29425,o0201952,2,,
29427,o0201952,2,,
29429,o0201952,2,,
29431,o0201952,2,,
29433,o0201952,2,,
29435,o0201952,2,,
29438,o0201952,2,,
29440,o0201952,2,,
29441,o0201952,2,,
29442,o0201952,2,,
29443,o0201952,2,,
29445,o0201952,2,,
29446,o0201952,2,,
29449,o0201952,2,,
29450,o0201952,2,,
29452,o0201952,2,,
29454,o0201952,2,,
29456,o0201952,2,,
29458,o0201952,2,,
29460,o0201952,2,,
29462,o0201952,2,,
29464,o0201952,2,,
29466,o0201952,2,,
29468,o0201952,2,,
29470,o0201952,2,,
31293,o0202339,2,,
31295,o0202339,2,,
31297,o0202688,2,,
31298,o0202688,2,,
31300,o0202688,2,,
31302,o0202688,2,,
31304,o0202688,2,,
53001,o0203506,2,,
53003,o0203506,2,,
53005,o0203506,2,,
53007,o0203506,2,,
53009,o0203506,2,,
53011,o0203506,2,,
53013,o0203506,2,,
53015,o0203506,2,,
53017,o0203506,2,,
53020,o0203506,2,,
64873,o0200746,2,,
64875,o0200746,2,,
64877,o0200746,2,,
64880,o0200746,2,,
64882,o0200746,2,,
64884,o0200746,2,,
64886,o0200746,2,,
64888,o0200746,2,,
64890,o0200746,2,,
64892,o0200746,2,,
64894,o0200746,2,,
64896,o0200746,2,,
64898,o0200746,2,,
64900,o0200746,2,,
64902,o0200746,2,,
64904,o0200746,2,,
64906,o0200746,2,,
64908,o0200746,2,,
64910,o0200746,2,,
64911,o0200746,2,,
64914,o0200746,2,,
64915,o0200746,2,,
64916,o0200746,2,,
64918,o0200746,2,,
64919,o0200746,2,,
64921,o0200746,2,,
64923,o0200746,2,,
83341,o0201142,2,,
83343,o0201142,2,,
83345,o0201142,2,,
83346,o0201142,2,,
83348,o0201142,2,,
83356,o0002738,2,,
83358,o0002738,2,,
83360,o0002738,2,,
83361,o0002738,2,,
83363,o0002738,2,,
83365,o0002738,2,,
83367,o0002738,2,,
83369,o0002738,2,,
83371,o0002738,2,,
83373,o0002738,2,,
83375,o0002738,2,,
83377,o0002738,2,,
83379,o0002738,2,,
83381,o0002738,2,,
83383,o0002738,2,,
83385,o0002738,2,,
83387,o0002738,2,,
83389,o0002738,2,,
83391,o0002738,2,,
83393,o0002738,2,,
83394,o0002738,2,,
83396,o0002738,2,,
83397,o0002738,2,,
83399,o0002738,2,,
83402,o0002738,2,,
83403,o0002738,2,,
90278,o0201156,2,,
90282,o0201156,2,,
90284,o0201156,2,,
90286,o0201156,2,,
90288,o0201156,2,,
90290,o0201156,2,,
90292,o0201156,2,,
90293,o0201156,2,,
90295,o0201156,2,,
90297,o0201156,2,,
90299,o0201156,2,,
90303,o0201156,2,,
90305,o0201156,2,,
90306,o0201156,2,,
90308,o0201156,2,,
90310,o0201156,2,,
92713,o0202331,2,,
92715,o0202331,2,,
92718,o0202331,2,,
92720,o0202331,2,,
92722,o0202331,2,,
92724,o0202331,2,,
92726,o0202331,2,,
92728,o0202331,2,,
92730,o0202331,2,,
92733,o0202331,2,,
92735,o0202331,2,,
92737,o0202331,2,,
92739,o0202331,2,,
92741,o0202331,2,,
92743,o0202331,2,,
92745,o0202331,2,,
92748,o0202331,2,,
92750,o0202331,2,,
92752,o0202331,2,,
92753,o0202331,2,,
92755,o0202331,2,,
92757,o0202331,2,,
92759,o0202331,2,,
92762,o0202331,2,,
92764,o0202331,2,,
100635,o0201949,2,,
100812,o0201949,2,,
100843,o0201949,2,,
100844,o0201949,2,,
113694,o0002225,2,,
113697,o0002225,2,,
113699,o0002225,2,,
113701,o0002225,2,,
113703,o0002225,2,,
113705,o0002225,2,,
113707,o0002225,2,,
113709,o0002225,2,,
113710,o0002225,2,,
113712,o0002225,2,,
113713,o0002225,2,,
113715,o0002225,2,,
113717,o0002225,2,,
113719,o0002225,2,,
113721,o0002225,2,,
113724,o0201988,2,,
113726,o0201988,2,,
113728,o0201988,2,,
113730,o0201988,2,,
113732,o0201988,2,,
113734,o0201988,2,,
113736,o0201988,2,,
113737,o0201988,2,,
113739,o0201988,2,,
113740,o0201988,2,,
170216,o1626195,2,,
170219,o0202697,2,,
170220,o1626195,2,,
170221,o0202697,2,,
170222,o1626195,2,,
170223,o0202697,2,,
170224,o1626195,2,,
170225,o0202697,2,,
170226,o1626195,2,,
170227,o0202697,2,,
170240,o0002594,2,,
170241,o0002594,2,,
170243,o0002594,2,,
170245,o0002594,2,,
170247,o0002594,2,,
170250,o0002594,2,,
170251,o1626195,2,,
170252,o0202697,2,,
236549,o0203110,2,,
236551,o0203110,2,,
236553,o0002440,2,,
236555,o0002440,2,,
236557,o0002440,2,,
236558,o0002440,2,,
236560,o0002440,2,,
236562,o0002440,2,,
236564,o0002440,2,,
245553,o0204025,2,,
245555,o0204025,2,,
245557,o0204025,2,,
245560,o0204025,2,,
245562,o0204025,2,,
245564,o0204025,2,,
245566,o0204025,2,,
245568,o0204025,2,,
245570,o0204025,2,,
245572,o0204025,2,,
251675,o1626204,2,,
251677,o1626204,2,,
251680,o1626204,2,,
251681,o1626204,2,,
251683,o1626204,2,,
251685,o1626204,2,,
251687,o1626204,2,,
251690,o1626204,2,,
