rank,name,slug,poss,orapm,drapm,rapm
1,Stephen Curry,GSW,12144,5.4182,1.2478,6.666
2,Chris Paul,LAC,8413,2.5115,2.7203,5.2318
3,Jimmy Butler,CHI,11991,2.4034,2.5327,4.9361
4,Jae Crowder,BOS,10256,2.3605,2.5159,4.8764
5,Kyle Lowry,TOR,9515,3.4807,1.2795,4.7602
6,Draymond Green,GSW,11172,1.663,3.0268,4.6899
7,LeBron James,CLE,12053,4.2423,0.3045,4.5469
8,Nikola Jokic,DEN,8971,4.2287,0.2993,4.5279
9,Bradley Beal,WAS,11845,3.1803,1.0612,4.2415
10,Rudy Gobert,UTA,11271,0.6111,3.4793,4.0903
11,Patrick Patterson,TOR,6861,2.5056,1.4323,3.9379
12,Anthony Davis,NOP,11910,0.8876,3.038,3.9256
13,Kevin Love,CLE,8206,2.2716,1.5915,3.8631
14,Danilo Gallinari,DEN,9437,2.4855,1.1285,3.614
15,Kawhi Leonard,SAS,10334,4.4319,-0.8355,3.5964
16,Klay Thompson,GSW,11838,2.7803,0.6397,3.42
17,Patty Mills,SAS,7618,2.0358,1.3736,3.4094
18,Maurice Harkless,POR,9735,2.8572,0.5221,3.3794
19,Kevin Durant,GSW,9387,2.8609,0.3808,3.2417
20,Lou Williams,LAL,6298,3.1698,-0.0014,3.1684
21,Victor Oladipo,OKC,9952,-0.4008,3.5368,3.1359
22,Tim Hardaway,ATL,9567,2.5433,0.5736,3.1169
23,JaVale McGee,GSW,3422,3.2286,-0.1965,3.0321
24,Russell Westbrook,OKC,12700,2.7851,0.1989,2.9839
25,Khris Middleton,MIL,3677,1.8638,1.0682,2.932
26,Gordon Hayward,UTA,10362,2.0977,0.7988,2.8964
27,Danny Green,SAS,7464,0.4248,2.4533,2.878
28,Nikola Mirotic,CHI,7226,1.4991,1.3655,2.8646
29,Jared Dudley,PHO,6236,0.1231,2.68,2.8031
30,Hassan Whiteside,MIA,10786,1.6675,1.0489,2.7164
31,Isaiah Thomas,BOS,11248,5.0891,-2.3848,2.7044
32,Eric Gordon,HOU,10549,0.8211,1.8355,2.6566
33,Mike Conley,MEM,9562,2.7183,-0.1424,2.5759
34,James Harden,HOU,13351,3.04,-0.4967,2.5433
35,Paul Millsap,ATL,10384,0.8455,1.6088,2.4543
36,Paul George,IND,11510,2.0755,0.3504,2.4258
37,George Hill,UTA,6302,0.9973,1.4017,2.3991
38,Aron Baynes,DET,4940,0.2113,2.1675,2.3788
39,Jonas Jerebko,BOS,5346,2.1158,0.2423,2.3581
40,Vince Carter,MEM,7613,1.1035,1.231,2.3345
41,Joel Embiid,PHI,3468,-0.0072,2.3235,2.3163
42,C.J. McCollum,POR,12218,1.8747,0.3839,2.2586
43,Blake Griffin,LAC,9152,1.9598,0.2443,2.2041
44,Ryan Anderson,HOU,9428,1.9058,0.2673,2.1731
45,Lucas Nogueira,TOR,4680,1.0715,1.0885,2.16
46,Zaza Pachulia,GSW,5663,1.3597,0.7442,2.1039
47,Leandro Barbosa,PHO,4313,1.5007,0.6013,2.102
48,Fred VanVleet,TOR,1283,-0.2786,2.3582,2.0795
49,Rudy Gay,SAC,4395,0.0605,1.9768,2.0372
50,Raul Neto,UTA,1461,0.4376,1.5846,2.0222
51,David Lee,SAS,6337,1.2944,0.7142,2.0086
52,DeMar DeRozan,TOR,11290,2.0164,-0.0125,2.0039
53,Beno Udrih,DET,2326,0.5804,1.4052,1.9856
54,Jonathon Simmons,SAS,5963,-0.8782,2.8234,1.9452
55,Andre Iguodala,GSW,8973,1.0557,0.8752,1.9309
56,Patrick Beverley,HOU,9129,2.1595,-0.2461,1.9134
57,Jason Terry,MIL,5755,0.0615,1.8446,1.9061
58,Nemanja Bjelica,MIN,5140,-0.9321,2.789,1.8569
59,Lou Williams,TOT,9055,2.1917,-0.3359,1.8558
60,Pierre Jackson,DAL,360,0.7717,1.0792,1.8509
61,Markieff Morris,WAS,10414,0.6466,1.1838,1.8304
62,Anthony Morrow,CHI,375,0.7618,1.0625,1.8243
63,Giannis Antetokounmpo,MIL,12106,0.3955,1.4258,1.8213
64,Devin Harris,DAL,4576,0.3805,1.4323,1.8128
65,Okaro White,MIA,2001,1.1954,0.6097,1.8051
66,Amir Johnson,BOS,6881,0.7371,1.0308,1.7679
67,David West,GSW,3607,0.4368,1.3168,1.7536
68,Kyle Anderson,SAS,4319,-0.0225,1.7583,1.7358
69,Seth Curry,DAL,8259,1.2373,0.4953,1.7326
70,Manu Ginobili,SAS,5732,0.8862,0.8352,1.7214
71,Greg Monroe,MIL,7750,2.5231,-0.8168,1.7063
72,Tyler Ennis,LAL,1729,0.4,1.2694,1.6694
73,Solomon Hill,NOP,10475,0.3879,1.2762,1.6641
74,Luc Mbah a Moute,LAC,7745,0.3362,1.3209,1.657
75,Nick Young,LAL,6910,1.6628,-0.0187,1.6441
76,Nerlens Noel,DAL,1977,0.9881,0.6355,1.6236
77,DeAndre Jordan,LAC,11277,0.5099,1.0845,1.5944
78,Marreese Speights,LAC,5493,1.7756,-0.1813,1.5943
79,Kyrie Irving,CLE,10945,3.3434,-1.751,1.5924
80,J.J. Barea,DAL,3202,0.4323,1.1566,1.589
81,Wayne Ellington,MIA,6455,1.1901,0.3905,1.5806
82,Dion Waiters,MIA,5970,0.8632,0.6963,1.5595
83,Tomas Satoransky,WAS,3037,0.225,1.3345,1.5595
84,Steven Adams,OKC,10695,0.803,0.7347,1.5378
85,Troy Daniels,MEM,5050,0.7245,0.7746,1.4991
86,Dragan Bender,PHO,2534,0.9832,0.4962,1.4793
87,Malcolm Brogdon,MIL,8444,1.3932,0.076,1.4692
88,Quincy Acy,BRK,2293,0.8659,0.5982,1.4641
89,Serge Ibaka,TOR,2954,0.9241,0.5348,1.4589
90,Robert Covington,PHI,9455,-1.1316,2.584,1.4525
91,Enes Kanter,OKC,6747,1.897,-0.4649,1.4321
92,Marc Gasol,MEM,10616,0.6756,0.7522,1.4278
93,Jamal Murray,DEN,7816,1.0873,0.3271,1.4143
94,Timothe Luwawu-Cabarrot,PHI,5340,-0.4897,1.889,1.3993
95,Monta Ellis,IND,8573,1.4359,-0.0756,1.3603
96,DeMarcus Cousins,SAC,8069,2.0646,-0.7224,1.3422
97,Justin Holiday,NYK,7129,-0.3731,1.7135,1.3403
98,Aaron Gordon,ORL,10057,1.9261,-0.609,1.3171
99,Quincy Acy,TOT,2495,0.7647,0.5373,1.3021
100,Michael Kidd-Gilchrist,CHO,9944,-0.4529,1.7538,1.3009
101,Marcus Smart,BOS,10614,-0.1022,1.3984,1.2962
102,Malik Beasley,DEN,761,0.1084,1.1566,1.2649
103,Isaiah Whitehead,BRK,7394,0.7754,0.4886,1.264
104,Shabazz Napier,POR,2160,1.621,-0.3652,1.2558
105,Tarik Black,LAL,4838,-0.5839,1.8302,1.2463
106,P.J. Tucker,TOR,2611,-0.479,1.7137,1.2347
107,Jusuf Nurkic,POR,2586,0.5848,0.646,1.2308
108,Thaddeus Young,IND,9594,0.6762,0.5392,1.2154
109,James Johnson,MIA,9160,-0.7255,1.9284,1.2029
110,Pau Gasol,SAS,6775,1.6179,-0.415,1.2029
111,Gorgui Dieng,MIN,11239,0.1804,0.9914,1.1717
112,Mindaugas Kuzminskas,NYK,4412,0.6466,0.5209,1.1675
113,Myles Turner,IND,10889,0.647,0.5081,1.1551
114,Stephen Zimmerman,ORL,450,0.6963,0.4575,1.1538
115,Cody Zeller,CHO,7301,0.0684,1.0498,1.1183
116,Clint Capela,HOU,6835,1.439,-0.3371,1.102
117,Delon Wright,TOR,1891,-0.6946,1.7864,1.0918
118,Dorian Finney-Smith,DAL,6709,0.4332,0.6418,1.075
119,Jrue Holiday,NOP,9654,-0.7942,1.8664,1.0722
120,Larry Nance,LAL,6402,-0.0628,1.1338,1.071
121,Dirk Nowitzki,DAL,5943,1.255,-0.191,1.064
122,Lance Stephenson,IND,532,0.95,0.11,1.06
123,Al-Farouq Aminu,POR,7667,-0.1844,1.234,1.0496
124,Ramon Sessions,CHO,3541,0.4327,0.6144,1.047
