mode_search,id_team,name_team,city_team,team_name,slug_season,gp,wins,losses,pct_wins,rank_conference,rank_division,count_wins_playoffs,count_losses_playoffs,count_conference_titles,count_division_titles,description_nba_finals_appearance,fgm,fga,pct_fg,fg3m,fg3a,pct_fg3,ftm,fta,pct_ft,oreb,dreb,treb,ast,pf,stl,tov,blk,pts,pts_rank,is_conference_champion,is_nba_champion
Totals,1610612764,Washington Wizards,Washington,Wizards,2016,82,41,41,0.5,10,4,0,0,15,5,,3238,7033,0.46,709,1983,0.358,1349,1849,0.73,743,2688,3431,2005,1708,708,1186,323,8534,9,FALSE,
Totals,1610612762,Utah Jazz,Utah,Jazz,2016,82,40,42,0.488,9,3,0,0,15,5,,2957,6593,0.449,694,1956,0.355,1402,1885,0.744,880,2665,3545,1554,1655,631,1224,425,8010,28,FALSE,
Totals,1610612761,Toronto Raptors,Toronto,Raptors,2016,82,56,26,0.683,2,1,10,10,15,5,,3006,6669,0.451,708,1915,0.37,1702,2190,0.777,836,2724,3560,1536,1610,636,1073,449,8422,14,FALSE,
Totals,1610612759,San Antonio Spurs,San Antonio,Spurs,2016,82,67,15,0.817,2,1,6,4,15,5,,3289,6797,0.484,570,1518,0.375,1342,1672,0.803,770,2831,3601,2010,1433,677,1071,485,8490,10,FALSE,
Totals,1610612758,Sacramento Kings,Sacramento,Kings,2016,82,33,49,0.402,10,3,0,0,15,5,,3283,7083,0.464,660,1839,0.359,1514,2089,0.725,868,2760,3628,2009,1676,733,1326,368,8740,3,FALSE,
Totals,1610612757,Portland Trail Blazers,Portland,Trail Blazers,2016,82,44,38,0.537,5,2,5,6,15,5,,3167,7040,0.45,864,2336,0.37,1424,1889,0.754,948,2782,3730,1748,1782,562,1200,380,8622,6,FALSE,
Totals,1610612756,Phoenix Suns,Phoenix,Suns,2016,82,23,59,0.28,14,4,0,0,15,5,,3051,7018,0.435,738,2118,0.348,1431,1905,0.751,943,2733,3676,1701,1858,632,1410,313,8271,22,FALSE,
Totals,1610612755,Philadelphia 76ers,Philadelphia,76ers,2016,82,10,72,0.122,15,5,0,0,15,5,,2970,6887,0.431,764,2255,0.339,1284,1850,0.694,777,2605,3382,1765,1780,680,1343,495,7988,29,FALSE,
Totals,1610612753,Orlando Magic,Orlando,Magic,2016,82,35,47,0.427,11,5,0,0,15,5,,3242,7120,0.455,636,1818,0.35,1249,1649,0.757,843,2709,3552,1933,1701,673,1155,417,8369,18,FALSE,
Totals,1610612760,Oklahoma City Thunder,Oklahoma City,Thunder,2016,82,55,27,0.671,3,1,11,7,15,5,,3372,7082,0.476,678,1945,0.349,1616,2067,0.782,1071,2916,3987,1883,1691,603,1305,487,9038,2,FALSE,
Totals,1610612752,New York Knicks,New York,Knicks,2016,82,32,50,0.39,13,3,0,0,15,5,,3022,6886,0.439,610,1762,0.346,1411,1753,0.805,850,2788,3638,1682,1616,467,1099,466,8065,27,FALSE,
Totals,1610612740,New Orleans Pelicans,New Orleans,Pelicans,2016,82,30,52,0.366,12,5,0,0,15,5,,3153,7040,0.448,702,1951,0.36,1415,1823,0.776,782,2712,3494,1818,1713,633,1102,342,8423,13,FALSE,
Totals,1610612750,Minnesota Timberwolves,Minnesota,Timberwolves,2016,82,29,53,0.354,13,5,0,0,15,5,,3095,6668,0.464,455,1347,0.338,1753,2213,0.792,821,2587,3408,1916,1696,656,1231,375,8398,15,FALSE,
Totals,1610612749,Milwaukee Bucks,Milwaukee,Bucks,2016,82,33,49,0.402,12,5,0,0,15,5,,3145,6740,0.467,440,1277,0.345,1392,1863,0.747,858,2559,3417,1895,1695,672,1247,475,8122,25,FALSE,
Totals,1610612748,Miami Heat,Miami,Heat,2016,82,48,34,0.585,3,1,7,7,15,5,,3150,6697,0.47,498,1480,0.336,1406,1889,0.744,807,2811,3618,1709,1502,553,1155,531,8204,23,FALSE,
Totals,1610612763,Memphis Grizzlies,Memphis,Grizzlies,2016,82,42,40,0.512,7,3,0,4,15,5,,3019,6859,0.44,504,1521,0.331,1584,2024,0.783,916,2497,3413,1697,1783,724,1090,350,8126,24,FALSE,
Totals,1610612747,Los Angeles Lakers,Los Angeles,Lakers,2016,82,17,65,0.207,15,5,0,0,15,5,,2880,6956,0.414,639,2016,0.317,1583,2028,0.781,878,2645,3523,1478,1662,593,1124,337,7982,30,FALSE,
Totals,1610612746,LA Clippers,LA,Clippers,2016,82,53,29,0.646,4,2,2,4,15,5,,3141,6759,0.465,797,2190,0.364,1490,2152,0.692,721,2727,3448,1873,1746,709,1063,460,8569,7,FALSE,
