slug_season,name_player,group_position,year_season,id_position,slug_player_bref,id_player_nba,name_player_bref,url_player_thumbnail,url_player_headshot,year_season_first,id_player_season,age_player,slug_team_bref,count_games,is_hof_player,minutes,ratio_per,pct_true_shooting,pct3p_rate,pct_ft_rate,pct_orb,pct_drb,pct_trb,pct_ast,pct_stl,pct_blk,pct_tov,pct_usg,ratio_ows,ratio_dws,ratio_ws,ratio_ws_per48,ratio_obpm,ratio_dbpm,ratio_bpm,ratio_vorp,count_games_started,pct_fg,pct_fg3,pct_fg2,pct_efg,pct_ft,minutes_totals,fgm_totals,fga_totals,fg3m_totals,fg3a_totals,fg2m_totals,fg2a_totals,ftm_totals,fta_totals,orb_totals,drb_totals,trb_totals,ast_totals,stl_totals,blk_totals,tov_totals,pf_totals,pts_totals,url_player_bref
2016-17,Aaron Brooks,G,2017,PG,brookaa01,201166,Aaron Brooks,https://stats.nba.com/media/players/230x185/201166.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201166.png,2007,brookaa01_2017,32,IND,65,FALSE,894,9.5,0.507,0.427,0.133,0.023,0.063,0.043,0.207,0.014,0.9,0.172,0.192,-0.2,0.5,0.3,0.016,-2.1,-2.5,-4.6,-0.6,0,0.403,0.375,0.424,0.483,0.8,894,121,300,48,128,73,172,32,40,18,51,69,125,25,9,66,93,322,http://www.basketball-reference.com/players/b/brookaa01.html
2016-17,Aaron Gordon,F,2017,SF,gordoaa01,203932,Aaron Gordon,https://stats.nba.com/media/players/230x185/203932.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203932.png,2014,gordoaa01_2017,21,ORL,80,FALSE,2298,14.5,0.53,0.309,0.251,0.053,0.141,0.096,0.105,0.014,0.014,0.085,0.201,2,1.7,3.7,0.077,-0.2,-0.4,-0.7,0.8,72,0.454,0.288,0.528,0.499,0.719,2298,393,865,77,267,316,598,156,217,116,289,405,150,65,40,89,172,1019,http://www.basketball-reference.com/players/g/gordoaa01.html
2016-17,Aaron Harrison,G,2017,SG,harriaa01,1626151,Aaron Harrison,https://stats.nba.com/media/players/230x185/1626151.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626151.png,2015,harriaa01_2017,22,CHO,5,FALSE,17,-2.2,0.102,0.5,0.5,0,0.195,0.097,0.226,0,0,0,0.129,-0.1,0,-0.1,-0.146,-9.6,-2.1,-11.6,0,0,0,0,0,0,0.5,17,0,4,0,2,0,2,1,2,0,3,3,3,0,0,0,2,1,http://www.basketball-reference.com/players/h/harriaa01.html
2016-17,Adreian Payne,F,2017,PF,paynead01,203940,Adreian Payne,https://stats.nba.com/media/players/230x185/203940.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203940.png,2014,paynead01_2017,25,MIN,18,FALSE,135,14.4,0.505,0.278,0.352,0.077,0.21,0.143,0.08,0.03,0.044,0.114,0.231,0,0.2,0.2,0.086,-2.2,0.7,-1.5,0,0,0.426,0.2,0.513,0.454,0.737,135,23,54,3,15,20,39,14,19,9,24,33,7,8,7,8,32,63,http://www.basketball-reference.com/players/p/paynead01.html
2016-17,AJ Hammons,C,2017,C,hammoaj01,1627773,A.J. Hammons,https://stats.nba.com/media/players/230x185/1627773.png,,,hammoaj01_2017,24,DAL,22,FALSE,163,8.4,0.472,0.238,0.476,0.054,0.21,0.128,0.038,0.3,0.072,0.164,0.176,-0.2,0.2,0,-0.001,-7.5,2,-5.6,-0.1,0,0.405,0.5,0.375,0.464,0.45,163,17,42,5,10,12,32,9,20,8,28,36,4,1,13,10,21,48,http://www.basketball-reference.com/players/h/hammoaj01.html
2016-17,Al-Farouq Aminu,F,2017,PF,aminual01,202329,Al-Farouq Aminu,https://stats.nba.com/media/players/230x185/202329.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202329.png,2010,aminual01_2017,26,POR,61,FALSE,1773,11.3,0.506,0.455,0.292,0.048,0.235,0.141,0.079,0.017,0.02,0.152,0.154,-0.1,2,1.9,0.051,-2.3,1.2,-1.1,0.4,25,0.393,0.33,0.445,0.468,0.706,1773,183,466,70,212,113,254,96,136,77,374,451,99,60,44,94,102,532,http://www.basketball-reference.com/players/a/aminual01.html
2016-17,Al Horford,C,2017,C,horfoal01,201143,Al Horford,https://stats.nba.com/media/players/230x185/201143.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201143.png,2007,horfoal01_2017,30,BOS,68,FALSE,2193,17.7,0.553,0.302,0.169,0.049,0.186,0.118,0.244,0.012,0.032,0.118,0.197,3.6,2.7,6.3,0.138,1,2,3.1,2.8,68,0.473,0.355,0.524,0.527,0.8,2193,379,801,86,242,293,559,108,135,95,370,465,337,52,86,115,138,952,http://www.basketball-reference.com/players/h/horfoal01.html
2016-17,Al Jefferson,C,2017,C,jeffeal01,2744,Al Jefferson,https://stats.nba.com/media/players/230x185/2744.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2744.png,2004,jeffeal01_2017,32,IND,66,FALSE,931,18.9,0.526,0.002,0.18,0.092,0.242,0.168,0.11,0.01,0.015,0.061,0.261,1.2,1.1,2.3,0.119,-1.5,-1.5,-3.1,-0.2,1,0.499,0,0.5,0.499,0.765,931,235,471,0,1,235,470,65,85,75,203,278,57,19,16,33,125,535,http://www.basketball-reference.com/players/j/jeffeal01.html
2016-17,Alan Anderson,F,2017,SF,anderal01,101187,Alan Anderson,https://stats.nba.com/media/players/230x185/101187.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/101187.png,2005,anderal01_2017,34,LAC,30,FALSE,308,5,0.494,0.55,0.2,0.011,0.074,0.044,0.049,0.5,0,0.074,0.137,0,0.1,0.1,0.02,-2.6,-2.3,-4.9,-0.2,0,0.375,0.318,0.444,0.463,0.75,308,30,80,14,44,16,36,12,16,3,21,24,11,3,0,7,35,86,http://www.basketball-reference.com/players/a/anderal01.html
2016-17,Alan Williams,C,2017,C,willial03,1626210,Alan Williams,https://stats.nba.com/media/players/230x185/1626210.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626210.png,2015,willial03_2017,24,PHO,47,FALSE,708,19.5,0.547,0.004,0.419,0.14,0.312,0.224,0.052,0.018,0.037,0.105,0.209,1.1,0.9,2.1,0.142,-1.8,0.1,-1.7,0.1,0,0.517,0,0.519,0.517,0.625,708,138,267,0,1,138,266,70,112,94,198,292,23,27,32,37,125,346,http://www.basketball-reference.com/players/w/willial03.html
