xid,poss_num,n
o0002772,15112,2
o0002772,15114,2
o0002772,15117,2
o0002772,15120,2
o0002772,15123,2
o0002772,15124,2
o0002772,15127,2
o0002772,15128,2
o0002772,15130,2
o0002772,15133,2
o0002772,15134,2
o0201935,10891,2
o0201935,10893,2
o0201935,10895,2
o0201935,10897,2
o0201935,10899,2
o0201935,10900,2
o0201935,10902,2
o0201935,10904,2
o0201935,10906,2
o0202355,166472,2
o0202355,166474,2
o0202355,166476,2
o0202355,166478,2
o0202355,166480,2
o0202355,166482,2
o0202355,166484,2
o0203084,36240,2
o0203084,36242,2
o0203084,36244,2
o0203084,36245,2
o0203084,36247,2
o0203084,36249,2
o0203084,36251,2
o0203084,36252,2
o0203084,36254,2
o0203084,36256,2
o0203084,36258,2
o0203084,36259,2
o0203084,36260,2
o0204020,166485,2
o0204020,166487,2
o1628389,166489,2
o1628389,166491,2
o1628389,166493,2
o1628463,66967,2
o1628463,66969,2
o1628463,66971,2
o1628463,66973,2
o1628463,66974,2
o1628463,66978,2
o1628463,66980,2
o1628463,66982,2
o1628492,36262,2
o1628492,36266,2
o1628492,36268,2
o1628492,36269,2
o1628492,36271,2
o1628492,36273,2
o1628492,36274,2
